OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,OnSaturday,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,MaxCapacity,DevilsDeck,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Diaz,Weather,Rain,WeatherIndex,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,RegularSeason_PrevYear,SRS_PrevYear,SOS_PrevYear,Bowl_PrevYear,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,ThanksgivingWeekend,LaborDayWeekend,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,TobaccoRoadGame,OppCityDist
Florida St.,2001,NA,NA,NA,NA,NA,NA,Home,9,1,Sat,1,18.000,L,13,55,-42,0,23312,68.68389264,0,43915,0,0,0,1,1,0,0,0,,,,74.3,97,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,1,NA,NA,NA,,0,0,0,0,0,,0,0,493.91
Rice,2001,NA,NA,NA,NA,NA,NA,Away,9,8,Sat,1,20.000,L,13,15,-2,0,17745,NA,0,43915,0,0,0,0,0,0,0,0,,,,87.4,68,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,1046.04
Northwestern,2001,NA,NA,NA,NA,NA,NA,Home,9,22,Sat,1,18.000,L,7,44,-37,0,18427,54.29127015,0,43915,0,0,0,0,0,0,0,0,,,,83.3,57,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,629.97
Virginia,2001,NA,NA,NA,NA,NA,NA,Away,9,29,Sat,1,13.000,L,10,31,-21,0,54653,NA,0,43915,0,0,0,0,0,0,0,0,,,,,,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,142.54
Georgia Tech,2001,NA,NA,NA,NA,NA,NA,Home,10,6,Sat,1,13.000,L,10,37,-27,0,10431,30.73274211,0,43915,0,0,0,0,0,0,0,0,,,,61.3,97,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,347.61
Wake Forest,2001,NA,NA,NA,NA,NA,NA,Home,10,13,Sat,1,13.000,L,35,42,-7,0,10835,31.92304293,0,43915,0,0,0,0,0,0,0,0,,,,77.4,54,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,1,1,75.75
Maryland,2001,NA,NA,NA,NA,NA,NA,Away,10,20,Sat,1,12.000,L,17,59,-42,0,43528,NA,0,43915,0,0,0,0,0,0,0,0,,,,,,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,232.69
Vanderbilt,2001,NA,NA,NA,NA,NA,NA,Home,10,27,Sat,1,13.000,L,28,42,-14,0,18332,54.01137268,0,43915,0,0,0,0,0,0,0,0,,,,50.4,36,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,0,0,440.39
North Carolina St.,2001,NA,NA,NA,NA,NA,NA,Home,11,3,Sat,1,14.000,L,31,55,-24,0,35206,103.7270558,0,43915,0,0,0,0,0,0,0,0,,,,79.3,44,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,1,1,21.14
North Carolina,2001,NA,NA,NA,NA,NA,NA,Away,11,17,Sat,1,13.500,L,17,52,-35,0,52000,NA,0,43915,0,0,1,0,0,0,0,0,,,,69.1,39,,,NA,,,0,-13.91,4.63,0,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,,1,1,10.42
